epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,33048.5,0.93437,0.44959,0.11465,0.77131,0.50243,0.56995,0.27441,0.68657,0.46909,0.10666,0.008614,0.008614,0.008614
44,33825,0.90099,0.45168,0.1143,0.78327,0.52988,0.58623,0.29395,0.66383,0.46665,0.10538,0.008581,0.008581,0.008581
45,34597.4,0.9302,0.44221,0.11397,0.7729,0.51764,0.57417,0.2848,0.67552,0.45974,0.1043,0.008548,0.008548,0.008548
46,35370.5,0.96764,0.4451,0.1226,0.75371,0.46168,0.53041,0.25991,0.71205,0.45754,0.10727,0.008515,0.008515,0.008515
47,36140.5,0.92781,0.44651,0.11618,0.78313,0.47265,0.54245,0.27693,0.68781,0.44991,0.1046,0.008482,0.008482,0.008482
48,36910.2,0.93783,0.44759,0.11607,0.78657,0.50259,0.56106,0.27501,0.69602,0.45633,0.10716,0.008449,0.008449,0.008449
49,37685.3,0.90441,0.45211,0.10953,0.7826,0.52818,0.57934,0.29754,0.66029,0.45362,0.10319,0.008416,0.008416,0.008416
50,38465.5,0.90399,0.4494,0.10976,0.77099,0.50798,0.56685,0.28685,0.67219,0.45336,0.10306,0.008383,0.008383,0.008383
51,39245.3,0.90123,0.45548,0.10929,0.77291,0.48992,0.55761,0.2772,0.68638,0.45523,0.10457,0.00835,0.00835,0.00835
52,40026.8,1.02142,0.42953,0.12528,0.77152,0.44395,0.52284,0.23593,0.75236,0.45061,0.11053,0.008317,0.008317,0.008317
53,40807.2,1.06194,0.43717,0.1386,0.78681,0.44001,0.51454,0.24879,0.73141,0.45117,0.10929,0.008284,0.008284,0.008284
54,41589.3,1.06075,0.43194,0.13293,0.81029,0.44586,0.50835,0.21816,0.79401,0.44738,0.11831,0.008251,0.008251,0.008251
55,42371.6,0.93444,0.44814,0.11592,0.79468,0.46507,0.53021,0.26074,0.71316,0.44909,0.10607,0.008218,0.008218,0.008218
56,43153.1,1.02556,0.43584,0.12793,0.76566,0.45506,0.52125,0.25178,0.71829,0.4518,0.1066,0.008185,0.008185,0.008185
57,43937.6,1.02355,0.44929,0.12698,0.76532,0.43734,0.5058,0.23822,0.73916,0.4514,0.10888,0.008152,0.008152,0.008152
58,44720.6,0.9551,0.44431,0.11661,0.80567,0.45808,0.52671,0.25541,0.72016,0.45301,0.10739,0.008119,0.008119,0.008119
59,45495.3,0.94498,0.448,0.11408,0.8159,0.47737,0.54476,0.27162,0.69534,0.45635,0.10431,0.008086,0.008086,0.008086
